First Modifier	Category	Code	Remarks
Biological	Sensor Type	01
{Disused}		02
Early Warning Radar	Sensor Type	03
Intrusion	Sensor Type	04
{Disused}		05
{Disused}		06
Upgraded Early Warning Radar	Sensor Type	07
{Disused}	Crime	08
{Disused}		09
{Disused}		10
{Disused}		11
Multi-purpose Blade	Capability	12
Tank-width Mine Plow	Capability	13
{Disused}		14
{Disused}		15
{Disused}		16
{Disused}		17
{Disused}		18
{Disused}		19
{Disused}		20
{Disused}		21
{Disused}		22
{Disused}		23
{Disused}		24
{Disused}		25
{Disused}		26
{Disused}		27
