First Modifier	Category	Code	Remarks
Tactical Satellite Communications	Capability	01
Area	Capability	02
{Disused}		03
Biological	Capability	04
Border	Capability	05
{Disused}		06
{Disused}		07
{Disused}		08
{Disused}		09
{Disused}		10
Communications Contingency Package	Capability	11
Construction	Capability	12
Cross Cultural Communication	Capability	13
{Disused}		14
{Disused}		15
Detention	Capability	16
Direct Communications	Capability	17
Diving	Capability	18
Division	Support Level	19
Dog	Capability	20
Drilling	Capability	21
Electro–Optical	Capability	22
Enhanced	Capability	23
{Disused}		24
Fire Direction Center	Capability	25
Force	Capability	26
Forward	Capability	27
Ground Station Module	Capability	28
Landing Support	Capability	29
{Disused}		30
{Disused}		31
Meteorological	Capability	32
{Disused}		33
Missile	Capability	34
Mobile Advisor and Support	Capability	35
Mobile Subscriber Equipment	Capability	36
Mobility Support	Capability	37
{Disused}		38
Multinational	Capability	39
Multinational Specialized Unit	Capability	40
Multiple Rocket Launcher	Capability	41
NATO Medical Role 1	Capability	42
NATO Medical Role 2	Capability	43
NATO Medical Role 3	Capability	44
NATO Medical Role 4	Capability	45
Naval	Capability	46
Unmanned Aerial Systems (UAS)	Capability	47
{Disused}		48
Operations	Capability	49
Radar	Capability	50
Radio Frequency Identification (RFID) Interrogator / Sensor	Capability	51
{Disused}		52
{Disused}		53
{Disused}		54
Sensor	Capability	55
Weapon	Capability	56
Signals Intelligence	Capability	57
{Disused}		58
Single Rocket Launcher	Capability	59
Smoke	Capability	60
{Disused}		61
Sound Ranging	Capability	62
{Disused}		63
{Disused}		64
Survey	Capability	65
Tactical Exploitation	Capability	66
Target Acquisition	Capability	67
Topographic/Geospatial	Capability	68
{Disused}		69
Video Imagery (Combat Camera)	Capability	70
Mobility Assault	Capability	71
Amphibious Warfare Ship	Capability	72
Load Handling System	Capability	73
Palletized Load System	Capability	74
{Disused}		75
{Disused}		76
Support	Capability	77
{Disused}		78
Route, Reconnaissance, and Clearance	Capability	79
{Disused}		80
NATO Medical Role 2 Basic	Capability	81
NATO Medical Role 2 Enhanced 	Capability	82
NATO Medical Role Forward	Capability	83
Assault	Capability	84
{Disused}		85
Criminal Investigation Division	Capability	86
Digital	Capability	87
Network or Network Operations	Capability	88
Airfield, Aerial Port of Debarkation, or Aerial Port of Embarkation	Capability	89
Pipeline	Capability	90
Postal	Capability	91
{Disused}		92
Independent Command	Support Level	93
Theater	Support Level	94
Army or Theater Army	Support Level	95
Corps	Support Level	96
{Disused}		97
Headquarters or Headquarters Staff Element		98
Multi-Domain Operations	Capability	99
